09:07:20.768 -> timestamp,accel_x,accel_y,accel_z,sound_level
09:07:20.866 -> 1698,0.009521,-1.011841,-0.022217,1274
09:07:20.964 -> 1798,0.009277,-1.011353,-0.023926,1058
09:07:21.063 -> 1898,0.010132,-1.011597,-0.022827,718
09:07:21.164 -> 1998,0.009277,-1.009766,-0.021240,402
09:07:21.263 -> 2098,0.009277,-1.010742,-0.020874,219
09:07:21.363 -> 2198,0.010132,-1.010986,-0.019043,91
09:07:21.495 -> 2298,0.010132,-1.010986,-0.018188,3
09:07:21.595 -> 2398,0.010254,-1.010498,-0.016846,55
09:07:21.695 -> 2498,0.010010,-1.011230,-0.016846,88
09:07:21.794 -> 2598,0.009521,-1.010864,-0.015137,107
09:07:21.893 -> 2698,0.008545,-1.010986,-0.014648,114
09:07:21.993 -> 2798,0.009399,-1.010376,-0.014282,110
09:07:22.092 -> 2898,0.010010,-1.010986,-0.014038,112
09:07:22.190 -> 2998,0.009399,-1.012451,-0.013550,108
09:07:22.288 -> 3098,0.009644,-1.009277,-0.012695,97
09:07:22.387 -> 3198,0.010376,-1.011108,-0.012817,89
09:07:22.486 -> 3298,0.009521,-1.011353,-0.012329,71
09:07:22.584 -> 3398,0.009888,-1.011353,-0.012573,62
09:07:22.684 -> 3498,0.009399,-1.010132,-0.011108,58
09:07:22.783 -> 3598,0.009521,-1.010620,-0.010986,64
09:07:22.882 -> 3698,0.009033,-1.010742,-0.010620,58
09:07:22.980 -> 3798,0.008789,-1.011475,-0.009888,51
09:07:23.079 -> 3898,0.009521,-1.010864,-0.010254,43
09:07:23.179 -> 3998,0.010376,-1.011108,-0.008667,35
09:07:23.278 -> 4098,0.009644,-1.011108,-0.009277,34
09:07:23.376 -> 4198,0.009155,-1.010864,-0.009888,26
09:07:23.474 -> 4298,0.025024,-1.007935,-0.002075,27
09:07:23.573 -> 4398,0.005127,-1.006470,-0.002075,38
09:07:23.672 -> 4498,0.002197,-1.010742,-0.013428,21
09:07:23.771 -> 4598,0.009888,-1.019409,0.000366,108
09:07:23.868 -> 4698,0.015869,-1.034668,-0.006714,17
09:07:23.966 -> 4798,0.079834,-0.881226,-0.049438,198
09:07:24.065 -> 4898,-0.057617,-1.026367,0.022949,183
09:07:24.195 -> 4998,0.036255,-0.922485,-0.026245,215
09:07:24.294 -> 5098,-0.042969,-1.113403,0.042480,186
09:07:24.393 -> 5198,-0.025757,-0.958374,-0.008911,183
09:07:24.492 -> 5298,0.076416,-0.898804,-0.041016,203
09:07:24.591 -> 5398,-0.054077,-1.035278,0.026367,211
09:07:24.690 -> 5498,0.032471,-0.932861,-0.020508,184
09:07:24.788 -> 5598,-0.049072,-1.112061,0.040771,169
09:07:24.887 -> 5698,-0.022217,-0.972046,0.004272,186
09:07:24.985 -> 5798,0.067383,-0.929077,-0.029907,178
09:07:25.084 -> 5898,-0.040161,-1.027100,0.019653,160
09:07:25.183 -> 5998,0.039551,-0.984985,-0.001831,134
09:07:25.283 -> 6098,-0.042114,-1.081543,0.030273,138
09:07:25.382 -> 6198,-0.007935,-1.007568,0.003662,134
09:07:25.482 -> 6298,0.048096,-0.949463,-0.020752,134
09:07:25.581 -> 6398,-0.022095,-1.034424,0.024048,116
09:07:25.680 -> 6498,0.026367,-1.005127,-0.008179,136
09:07:25.780 -> 6598,-0.042358,-1.059570,0.035034,115
09:07:25.880 -> 6698,-0.012573,-1.008789,0.003052,136
09:07:25.980 -> 6798,-0.046265,-0.950562,-0.035522,123
09:07:26.078 -> 6898,-0.051270,-1.024536,0.027100,163
09:07:26.177 -> 6998,0.045288,-0.957275,-0.012939,160
09:07:26.276 -> 7098,-0.067139,-1.131592,0.044189,170
09:07:26.375 -> 7198,-0.031372,-0.973633,0.014038,160
09:07:26.474 -> 7298,0.007568,-1.154175,-0.012329,191
09:07:26.573 -> 7398,-0.062500,-1.044312,0.031128,170
09:07:26.672 -> 7498,0.031982,-0.978638,-0.008545,168
09:07:26.770 -> 7598,-0.067627,-1.119507,0.039551,141
09:07:26.869 -> 7698,-0.010010,-0.995728,0.013794,166
09:07:26.968 -> 7798,0.018555,-1.003784,-0.012329,37
09:07:27.067 -> 7898,0.009888,-1.010864,-0.006958,17
09:07:27.165 -> 7998,0.009033,-1.010742,-0.004761,8
09:07:27.263 -> 8098,0.009399,-1.010864,-0.005859,12
09:07:27.395 -> 8198,0.009033,-1.011353,-0.006104,12
09:07:27.495 -> 8298,0.008911,-1.010864,-0.005005,10
09:07:27.594 -> 8398,0.009644,-1.010010,-0.005981,4
09:07:27.692 -> 8498,0.010376,-1.010864,-0.005371,2
09:07:27.792 -> 8598,0.009521,-1.011230,-0.005981,5
09:07:27.892 -> 8698,0.009155,-1.009888,-0.005737,5
09:07:27.991 -> 8798,0.010254,-1.010864,-0.005493,5
09:07:28.090 -> 8898,0.009155,-1.010498,-0.005981,3
09:07:28.190 -> 8998,0.009399,-1.010132,-0.004883,2
09:07:28.289 -> 9098,0.009155,-1.010742,-0.004883,4
09:07:28.388 -> 9198,0.023193,-1.016113,-0.007202,11
09:07:28.487 -> 9298,0.009399,-1.011353,-0.004150,3
09:07:28.585 -> 9398,0.010132,-1.009644,-0.007080,9
09:07:28.682 -> 9498,-0.029663,-0.983643,-0.003784,4
09:07:28.782 -> 9598,0.020386,-1.010620,-0.002930,20
